Title,Director,Cast,Genre,Notes,Ref.,Year,index
Jejak Warriors,Saw Teong Hin,"Pekin Ibrahim, Nadiya Nisaa, Alif Firdaus, Harun Salim Bachik, Fauziah Ahmad Daud, Bell Ngasri, Sabri Yunus, Khairul Fahmi Che Mat, Amir Raja Lawak, Shuk SYJ",Family,U2 Media,,2015,320
Usop Wilcha: Menghonjang Makhluk Muzium,Mamat Khalid,"Usop Wilcha, Elizabeth Tan, Nasir Bilal Khan, Namron, Hitler Zami, Kamarol Yusof",Horror / Comedy / Fantasy,Mounting Board Productions,,2015,321
Bravo 5,Yeop Hitler Zami & Fauzi Nawawi,"Beto Kusyairy, Remy Ishak, Shashi Tharan, Xavier Fong, Frank Peterson, Sofi Jikan, Hattan, Fizz Fairuz, Zul Huzaimy, Kamal Adli, Adam Corrie",Action,Karya Firma Production,,2015,322
Tortured Souls,M. Subash Abdullah,"Yuki, Edmond, Francis Chong",Family / Mystery,"Dream Pix Media
Mandarin-language film",,2015,323
Kapsul,Martias Ali,"Faizal Hussein, Rahim Razali, Kamarul Hassan, Adlin Aman Ramlie, Joey Daud, Jue Aziz, Haerianto Hassan, Harun Salim Bachik, Ahmad Tarmimi Siregar, Adam Corrie",Fiction,Two Tones,,2015,324
Polis Evo,Ghaz Abu Bakar,"Shaheizy Sam, Zizan Razak, Nora Danish, Mimie Ernida, Wan Hanafi Su, Pablo Amirul, Amerul Affendy, Harun Salim Bachik",Action / Comedy / Crime,Astro Shaw,,2015,325
Girlfriend Kontrak,Virginia Kennedy,"Keith Foo, Nur Risteena, Azad Jazmin, Bront Palarae, Fara Fauzana",Drama / Romance,Primeworks Studios,,2015,326
Jwanita,Osman Ali,"Maya Karin, Bront Palarae, Cristina Suzanne Stockstill, Marsha Milan Londoh, Umie Aida",Horror,Nuansa,,2015,327
Pontianak Menangis,Ismail Jejaka,"Rahim R2, Yassin, Hamdan Senario",Horror,Heart N Soul,,2015,328
Rembat,Shamly Othman,"Shaheizy Sam, Aniu, Zizan Razak, Zara Zya, Sam Chong, Arja Lee",Action / Comedy,Marna Films Grand Brilliance Red Films,,2015,329
Maravan,SD Puvanendran,"Kumaresh, Haridass, Denes Kumar, Kavitha Thiagarajan, Logan, Seelan, Pushpa Narayan, Sangeeta Krishnasamy",Action / Drama / Family / Thriller,"Golden Peacock Film Production 
Tamil languane movie",,2015,330
Badi,Eyra Rahman,"Adibah Yunus, Azwan Kombos, Rashidah Jaafar",Horror,MIG Pictures,,2015,331
Death Trip,Billy Tang,"Victor Wong, Zeng Yong Xing, Chan Chee Hong",Horror / Crime / Mystery,"Asia Tropical Films
Mandarin-language film",,2015,332
"Love, Supermoon",Wan Hasliza,"Nadiya Nisaa, Farid Kamil, Rita Rudaini, Anne Ngasri, Fizz Fairuz, Zain Saidin",Comedy / Drama,Grand Brilliance,,2015,333
Muthukumar Wanted,M. Pathmanaban,"Sarran SK, Nazira Ibrahim, Haridass, Robo Shankar",Romance / Action,"MERP Film Factory
Tamil-language film",,2015,334
Juvana 2: Terperangkap Dalam Kebebasan,Faisal Ishak,"Johan As'ari, Zahiril Adzim, Shera Aiyob, Pekin Ibrahim, Hasnul Rahmat",Action,"Filmscape
Preceded by Juvana (2013)",,2015,335
Iravan,Kash Villanz,"Kash Villanz, K.S Maniam, Darkkey, Devika Raghavakrishnan, Maney Villanz",Action / Family / Romance / Musical,DVA Film Productions,,2015,336
Mirip,Jokin,"Fezrul Khan, Ezzaty Abdullah, Reen Rahim",Musical / Romance / Thriller,Green Screen Production,,2015,337
Biasan,Sandosh Kesavan,"Mas Khan, Lana Nordin, Jalaluddin Hassan, Emma Akan",Romance,Janu Talkies,,2015,338
Find My Dad,Euho,"Victor Wong, Jeanette Aw, Ha Yu, Mini Bin",Drama / Family / Romance,Asia Tropical Films,,2015,339
Ada Apa Dekat Bus Stop,Ikhzal Azfarel Ideris,"Abam Bocey, Tauke Jambu, Leez AF, Meor Oh Chentaku, Airis Yasmin, Kazar, Zaibo, Erwan Razak",Comedy,Katak Hijau Entertainment,,2015,340
Banglo Berkunci,Dharma Aizat,"Nur Fathiah Diaz, Adibah Yunus, Fadlan Hazim, Sheikh Zulhamy Reza, Intan Ladyana",Horror,Mangkin Prestij,,2015,341
Sinaran,Osman Ali,"Lisa Surihani, Evan Sanders, Izara Aishah, Syarif Sleeq, Nadiah M.Din, Sheila Majid",Musical,Nuansa-Shooting Gallery Asia-Sinaran Pictures co-production,,2015,342
Chowrasta,Abdul Razak Mohaideen,"Cheem Ammar, Nora Danish, Rosyam Nor, Fauzi Nawawi",Romance / Action / Comedy / Drama,Nation Film Studio,,2015,343
Paint My Love,Jen B,"Sam, Fuying, Ribbon Ooi, Eric Lin",Drama,"Mahu Pictures
Mandarin-language film",,2015,344
Keranda Tok Wan Terbang,Hashim Rejab,"Yassin Yahya, Rahim R2, Shuk SYJ, Shima Anuar, Mak Jah, Epy Kodiang",Horror / Comedy,MIG Pictures,,2015,345
Who's Your Daddy,Boris Boo,"Tedd Chan, Luke Lok, Jeanna Ho Pui Yu, Chelsia Ng",Comedy / Drama / Family,"Double Vision
Mandarin-language film",,2015,346
Nanchathiran,,,Drama / Family,"Dream Pix Media
Tamil-language film",,2015,347
Jagat,Shanjhey Kumar Perumal,"Jibrail Rajhula, Harvind Raj, Kuben Mahadevan, Aahmuu Thirunyanam",Action / Crime / Drama,"Skyzen
Tamil-language film",,2015,348
Mat Moto,Ahmad Idham,"Niezam Zaidi, Shenthy Feliziana, Along Eyzendy, Qaralyana",Action / Comedy,SPSI Jaya,,2015,349
Isteri untuk Dijual,Eyra Rahman,"Kamal Adli, Nora Danish, Azwan Kombos",Romance,Mangkin Prestij,,2015,350
Apartment,Pierre Andre,"Kamal Adli, Naqia Nasution, Bil Azali",Horror,Rainfilm,,2015,351
Langit Cinta,Osman Ali,"Fazura, Keith Foo, Farid Kamil, Siti Saleha, Jalaluddin Hassan, Fauziah Ahmad Daud",Drama / Family / Romance,Astro Shaw-Nuansa co-production,,2016,352
Mat Moto: Kami Mat Moto Bukan Mat Rempit,Pekin Ibrahim & Syafiq Yusof,"Pekin Ibrahim, Felisha Grossley, Zul Huzaimy, Cat Farish, Syamsul Yusof, Shaheizy Sam, Faizal Hussein, Kamarol Yusoff",Drama / Romance,Skop Productions-Viper Studios co-production,,2016,353
Kastil Tua,Sabree Fadzil & Chiska Doppert,"Samantha Katie, Ajun Perwira, Josiah Hogan, Kimberly Ryder, Alina Saraswati",Horror / Adventure / Drama / Historical / Mystery,"Fimtab Unik-Capitol Entertainment co-production
Films set at Kellie's Castle
Indonesian-language film",,2016,354
Ola Bola,Chiu Keng Guan,"Chee Jun Cherng, Muhd Luqman Hafidz, Mohamad Taufiq, Saran Kumar, Marianne Tan, Katrina Ho, Bront Palarae, Frankie Lee",Drama / Sports,"Astro Shaw-GSC-Multimedia Entertainment co-production
Malay-, English-, Mandarin- and Tamil-language film",,2016,355
Pelepas Saka,Hashim Rejab,"Hanif Safuan, Hafiz Bahari, Lydia Izati, Esma Daniel, Fauzi Nawawi",Horror,Mangkin Prestij,,2016,356
Special Forces,Michael Chuah,"Frankie Lee, KK Wong, Michael Chuah, Brendan Yuen",Action / Comedy,"Evo Pictures
Mandarin-language film",,2016,357
Let's Eat,Chapman To,"Chapman To, Aimee Chan, C-Kwan, Lo Hoi-pang",Comedy,"Asia Tropical Films-Clover Films co-production
Cantonese-language film
Malaysia-Singapore co-production",,2016,358
Huat The Fish,Silver Yee Teik Yin & Chieng Hein Onn,"Jack Lim, Jeff Chin, Juztin Lan, Alvin Chong, Wan Wai Fun, Bernard Hiew, Gan Mei Yan",Comedy / Drama / Family,"The Film Engine
Cantonese-language film",,2016,359
Girl's Generation,"Aniu, Teddy Chin & Zhao Yu","Owodog, JC Chee, Royi, Yumi Wong SK, Keqing, Emily Kong",Comedy / Musical,"One Borneo Film Productions
Mandarin-language film",,2016,360
Munafik,Syamsul Yusof,"Syamsul Yusof, Nabila Huda, Sabrina Ali, Pekin Ibrahim, Fizz Fairuz",Horror,Skop Productions,,2016,361
BoBoiBoy: The Movie,Nizam Razak,"Nur Fathiah Diaz, Nur Sarah Alisya, Yap Ee Jean, Dzubir Mohamed Zakaria, Wong Wai Kay, Mohd Fathi Diaz, Azman Zulkiply, Mohd Hafiz Ashraf, Anas Abdul Aziz",Action / Animation,Animonsta Studios,,2016,362
Ais Kosong,Manan Subra,"Alvin Martin, Sasikumar, Anu Ramamoorthy, Sangabalan, Shamini Ramasamy, Kristina Vinokree, Nanthakumar, Pradeep Singh, Sivakumar",Adventure / Comedy,"MS Digital Studio
Tamil-language film",,2016,363
The Kid from the Big Apple,Jess Teong,"Tommy Tam, Tan Qin Lin, Jason Tan",Drama / Family,"Three Production
Mandarin-language film",,2016,364
Usin UFO,Zul Yahya,"Shuib Sepahtu, Puteri Sarah Liyana, Liza Abdullah, Aisyah Ilias",Comedy / Fantasy / Science fiction,Cahaya DJ Pictures,,2016,365
It's The Moment Yang Arif,S. T. Bala,"Ross Hassan, Suriana Abdul Wahab (Keena Mentor), Jacob Rabindranath, K. Balakumaran",Crime / Thriller,"Fenomena Seni Produksi
English-, Malay- and Tamil-language film",,2016,366
Kipidapp! Selamatkan Hari Jadi,Eyra Rahman,"Rani Kulup, Atikah Suhaimie, Hafreez Adam, Aizat Hassan, Kartina Aziz",Comedy,MIG Pictures,,2016,367
Warna Cinta Impian,N. S. Krishna,"Erwin Dawson, Awie, Erra Fazira, Azlee Khairi, Nazeera Sardi, Fad Bocey, Shiqin Kamal",Romance,TouchTronics Entertainment,,2016,368
Showdown The Movie,Khairil M. Bahar,"Reza Hasbi, Izara Aishah, Iedil Putra, Azad Jasmin, Maria Farida",Dance / Drama,Grand Brilliance-Lightbulb Pictures co-production,,2016,369
Redha,Tunku Mona Riza,"Namron, June Lojong, Harith Haziq, Izzy Reef, Nadiya Nisaa, Remy Ishak, Ruminah Sidek, Susan Lankester",Drama / Family,"Current Pictures
Film about autism",,2016,370
Lu Mafia Gua Gangster,Roy,"Shafiq Razlan, Kumpulan Zero, Jalaluddin Hassan, Zack Taipan, Along Azendy, Saiful Apek, Zul Arifin, Zaibo, Syanie",Comedy / Action / Crime / Romance,Red Fires Film Production,,2016,371
Perjanjian Syaitan,M. Subash Abdullah,"Ahmad Tarmimi Siregar, Imuda, Mak Jah",Horror / Drama / Mystery,RK Vision-Yusari Film,,2016,372
Harmonika,Raja Mukhriz Raja Ahmad Kamaruddin,"Elizad Sharifuddin, Ahya Rosli, Normah Damanhuri, Nurul Fateha, Aini Batrisya, Jonathan Putra, Riezman Khuzaimi, Taznisa J",Horror / Mystery,SPS Jaya,,2016,373
Judi-Judi King Boss,Julian Cheah,"Julian Cheah, Gana, Zhi Qian, Syalmizi Hamid, Syarmila Rastam, Sean Ho, Al Chan, Peter Jackson, Franciscus Nithya, Murali Ramakrishnan, Clovis Chew, Narvinderjit Singh, Tasvinder Sandher, Kash Rhal, Angel Ong, Sugeindhiran Sagotharan, Jude Jasvin Joseph, Remy Ismail, Ismail Ishak, Wesley Yeoh",Comedy,"Julian Cheah Pictures
English / Malay / Mandarin / Tamil / Hokkien / Punjabi-language film",,2016,374
Cendol: Kepada Allah Aku Berserah,M. Subash Abdullah,"Ma’arof, Farwizah, Zack Idris",Drama,RK Vision-Yusari Film,,2016,375
My Stupid Boss,Upi Avianto,"Reza Rahadian, Bunga Citra Lestari, Alex Abbad, Chew Kinwah, Bront Palarae, Atikah Suhaimie, Iskandar Zulkarnain",Comedy,Skop Production,,2016,376
Old Town Story,Lai Kim Koon,"Alan Chung, Peter Chan, Andy Khor, Iky Loke, Brendan Yuen, Johannes Koo, Namewee, Chee Cheng Hoe",Drama / Family,"Cao Min Pictures
Mandarin / Cantonese-language film",,2016,377
Mayangaathey,C. Kumaresan,C. Kumaresan / Shaila Nair,Comedy / Horror,"TouchTronics Entertainment
Tamil-language film",,2016,378
Anak Mami Nasi Kandaq,Abdul Razak Mohaideen,"Qi Razali, Fasha Sandha, Nur Risteena, Ezzaty Abdullah, Maria Farida, Azmir RL, Chik Pak Man Telo, Sheila Mambo",Comedy,FiTA Studios-UiTM co-production,,2016,379
Zack Kapcai,Rosli Mohd Taib,"Fad Bocey, Rahim Sepahtu, Shuk SYJ, Julia Marin",Comedy / Action,Metrowealth,,2016,380
Dukun Doktor Dani,Sabri Yunus,"Taufik Batisah, Fasha Sandha, Raysha Rizrose, Amerul Affendi, Khatijah Tan",Comedy / Drama,Astro Shaw,,2016,381
Kampung Drift,Nevin Hiong,"Syafie Naswip, Pekin Ibrahim, Pablo Amirul, Fatin Afeefa Arian, Zalfa Zain, Chen Sin Foo, Puovin Sandera, Syazwan Yunos, Jazli Hassan",Action / Drama,Mico Studio-Empire Film Solution co-production,,2016,382
Temuan Takdir,Dhyan Vimal,"Zahim Albakri, Ery Zukhairi, Azura Zainal, Vanida Imran, Amai Kamarudin, Thanuja Ananthan",Crime / Thriller,Zazen Production-Empire Film Solution co-production,,2016,383
Chinese Ghost Story,Wong Tak Fung,"Jeff Chin, Bernard Hiew, Juztin Lan, Emely Poon",Comedy / Horror,Redribbon Experiences,,2016,384
Mawar Putih,Rosnani Jamil,"Reen Rahim, Arja Lee, Triestan Aprilian, Cinta Dewi, Adli Eddynor",Drama / Romance,Manja Citra,,2016,385
Pekak,Mohd Khairul Azri Md Noor,"Zahiril Adzim, Sharifah Amani, Iedil Putra, Sharifah Sakinah, Amerul Affendi, Zaidi Omar",Drama,Grand Brilliance-Lightbulb Pictures co-production,,2016,386
Radhi Rudy bin Dadu,Arjin Uppal,"Sofi Jikan, Puteri Sarah, Taiyudin Bakar, Ezzaty Abdullah, Usop Wilcha, Khatijah Tan, Aziz Sattar, Adam Corrie",Action / Comedy,White Merpati Entertainment,,2016,387
Aliff Dalam 7 Dimensi,Faisal Ishak,"Juliana Evans, Izzue Islam, Alif Satar, Kaka Azraff",Action / Horror,Astro Shaw,,2016,388
Muluk dan Konco,Abdul Razak Mohaideen,"Azhari Zain, Saiful Apek, Yassin, Jalil Hamid, Sarah Hilderbrand",Comedy,FiTA Studios-UiTM co-production,,2016,389
Volkswagen Kuning,Shadan Hashim,"Pekin Ibrahim, Atikah Suhaimie",Horror,MIG Productions,,2016,390
Geethaiyin Raadhi,Shalini Muthusamy,"K. Karnan G Crak, Shalini Balasundaram, Vicran Elanggoven",Comedy,Vikadakavi,,2016,391
Juvana 3: Perhitungan Terakhir,Faisal Ishak,"Zahiril Adzim, Johan Asari, Adam Shahz, Hasnul Rahmat, Pekin Ibrahim",Action / Drama,"Empire Film Solution
Preceded by Juvana (2013) and Juvana 2: Terperangkap Dalam Kebebasan (2015)",,2016,392
Mat Moto Otai,Ahmad Idham,"Eizlan Yusof, Ahmad Idham, Opie Zami, Cat Farish",Comedy / Action,AIFA Motion Pictures,,2016,393
Kecoh! Primadona Kena Hantu,Pierre Andre,"Kamal Adli, Kamarul Yusoff, Khatijah Tan, Abam, Amir Raja Lawak",Horror / Comedy,Rainfilm,,2016,394
Rock Bro!,Mamat Khalid,"Khir Rahman, Hasnul Rahmat, Pekin Ibrahim, Kaka Azraff, Sofi Jikan, Azmi Black, Amy Juliet",Comedy / Drama,Primeworks Studios,,2016,395
Hanyut,U-Wei Haji Saari,"Peter O'Brien, Reeuben Alvin, Diana Danielle, Sofia Jane, Ady Putra, Alex Komang",Period Drama,Gambar Tanah Licin,,2016,396
Upin & Ipin Jeng Jeng Jeng!,Ainon Ariff & Erma Fatima,"Awie, Puteri Balqis, Remy Ishak, Sara Ali",Animation / Comedy,Les' Copaque-KRU Studios co-production,,2016,397
Interchange,Dain Iskandar Said,"Iedil Putra, Shaheizy Sam, Nicholas Saputra, Prisia Nasution, Nadiya Nissa, Alvin Wong, Chew Kin Wah",Fantasy / Thriller,Apparat-Primeworks co-production,,2016,398
Desolasi,Syafiq Yusof,"Syamsul Yusof, Bella Dally, Pekin Ibrahim, Jalaluddin Hassan",Science Fiction,Skop Productions,,2016,399
Bo-Peng,Helmi Yusof,"Nabil Ahmad, Johan As'ari, Zulin Aziz, Fauzi Nawawi, Soffi Jikan",Comedy,Pencil Pictures and Records,,2016,400
Happy Birth Death,Don Hoe,"Yana Samsudin, Jean Tan, Qian Kung, Yang BaoBei, Kean Chin",Horror,Full Billion Entertainment,,2016,401
Dorm Melati,Eyra Rahman,"Aedy Ashraf, Nadia Aqilah, Aizat Hassan, Ardell Aryana",Horror,MIG Pictures,,2017,402
Aku Bukan Spy,Danial Rifki,"Hamish Daud, Siti Saleha, Ray Sahetapy, Keith Foo, Shafira Umm, Nasha Aziz",Action / Romance,Sheunik,,2017,403
Love From Kampung,Silver Yee,"Jack Lim, Jeff Chin, Emily Chan, January So",Comedy / Drama,"MIG Pictures
Cantonese-language film",,2017,404
New Year Wish,Lee Sai Yew,"Sanny Lee, Debbie Loo, Michael Lieu",Drama / Family / Romance,"Hooray Movies
Mandarin-language film",,2017,405
Aku Haus Darah Mu,Aidilfitri Mohd Yunus,"Nad Zainal, Deanna Yusoff, Farhanna Qismina, Zoey Rahman",Horror,Tsar Asia,,2017,406
Money Money Home,Bryan Gao,"Lai Meng, Henry Thia, Jovi Theng, Chen Puie Heng",Comedy / Family,"Idea Entertainment
Mandarin-language film",,2017,407
I Am Lee Kah Seng,Benison Yong Keak Jya,"Steve Yap, Regine Tan, Marcus Yong",Comedy / Drama,"Benison Pictures
Cantonese-language film",,2017,408
Soulmate Hingga Jannah,Abdul Razak Mohaideen,"Taufik Batisah, Erra Fazira, Raja Ilya, Douglas Lim, Reen Rahim",Comedy / Romance,FiTA Studios,,2017,409
Pak Pong,Fauzi Nawawi,"Hairul Azreen, Siti Saleha, Badrul, Fauzi Nawawi, Eizlan Yusof",Drama / Fantasy,9 Country Creativity production,,2017,410
J Revolusi,Mohd Zulkarnain Mohd Azhar,"Zul Ariffin, Izara Aishah, Nur Fazura, Farid Kamil, Azad Jasmin, Iedil Putra",Action / Drama,Infinitus Productions-Primeworks Studios co-production,,2017,411
Henry of Malacca: A Malay and Magellan,Pedro Palma,"Aryan Farhan, Victor Gonçalves, Miguel Damião, João Vieira Pinto, Anísio Franco",Documentary,Yayasan DMDI,,2017,412
Adiwira Ku,Eric Ong,"Sangeeta Krishnasamy, Xavier Fong, Wan Azlyn, Farra Safwan, Ahmad Adnin Zidane, Irdina Tasmin, Balqis Sani, Rizal Fahmi",Drama,Filmmecca Studio,,2017,413
Kanang Anak Langkau: The Iban Warrior,Badaruddin Azmi,"Langgi Kanang, Adi Putra, Johan As'ari",Military / Action,"Tangan Seni-K3X Production co-production
Malay- and Iban-language film",,2017,414
Therapist,Don Hoe & Bryan Gao,"Jean Tan, Chai Cheng Sheong, Marcus Chang, Chen Puie Heng, Momoko Fern, Shaun Chen, Feon Lai",Horror / Thriller,"Full Billion Entertainment
Mandarin-language film",,2017,415
Cerita-Cerita Didi And Friends,Sinan Ismail,"Nur Insyeerah, Muntazar Ghufran, Adam Muqri, Alia Safira",Animation,TGV Pictures,,2017,416
Goodbye Mr. Loser,Adrian Teh Kean Kok,"Ian Fang, Mei Sim, Anjoe Koh, Phoebe Huang, Jack Lim, Jack Yap",Comedy,"Asia Tropical
Mandarin-language film",,2017,417
Kimchi Untuk Awak,Michael Ang,"Aiman Hakim, Emma Maembong, Janna Nick, Sharifah Sakinah, Ungku Haris, Natasha Elyzza, Dira Abu Zahar",Comedy / Romance,Astro Shaw-Dark Wave Pictures co-production,,2017,418
Sindiket,Badaruddin Azmi,"Sharnaaz Ahmad, Liyana Jasmay, Sharifah Amani, Daphne Iking, Rashidi Ishak, Soo Wincci, Tony Eusoff",Action / Crime,Loyal Studios,,2017,419
Hospital,Azaromi Ghazali,"Fatin Afeefa, Shima Anuar, Nina Iskandar, Fizz Fairuz",Horror / Thriller,MIG Pictures,,2017,420
Kamar Seksa,M. Suurya,"Sazzy Falak, Noorkhiriah, Ieda Moin, Aiyuni Hashim",Drama,Genius Parade,,2017,421
You Mean the World to Me,Saw Teong Hin,"Frederick Lee, Neo Swee Lin, John Tan, Chelsia Ng, Chad O'Brien",Drama,"Astro Shaw
Penang Hokkien-language",,2017,422
Lebuhraya Ke Neraka,Mamat Khalid,"Awie, Khir Rahman, Pekin Ibrahim, Miera Leyana, Shah Jaszle",Horror / Drama,Primeworks Studios,,2017,423
RIP?,S.T. Bala,"Manan Subra, Suloshna Balan, S. S. Shivajee, Venumathi",Drama,"Fenomena Seni Produksi
Tamil-language film",,2017,424
Minah Moto,Ahmad Idham,"Dayana Roza, Ariz Lufias, Cat Farish, Julia Hana, Aliff Yasraf",Action / Comedy,Aifa Motion Pictures,,2017,425
Kerja Kahwin,Anwardi Jamil,"Janna Nick, Rosnani Jamil, Shaharuddin Thamby, Ziema Din, Syed Ali, Aziz M. Osman, A. R. Badul",Comedy / Romance,Wayang Padu,,2017,426
Puthiya Payanam,Kathiraven Subramaniam,"Raven, Lavysha, Yoga, Koghilan Suren",Action / Drama / Sports,"SB Production
Tamil-language film",,2017,427
Kau Yang Satu,Osman Ali,"Aaron Aziz, Izara Aishah, Soo Wincci, Hisyam Hamid, Zaidi Omar, Wan Hanafi Su",Romance,Astro Shaw-Global Station co-production,,2017,428
Maama Machan,RMS Sara,"Nithya Shree, BenG, RMS Sara.R, P Jegan, Mcva, Linges, Shamini, Kalpana Shree",Comedy,"Boss Pictures
Tamil-language film",,2017,429
Hijabsta Ballet,Syed Zul Tojo,"Puteh Maimun Zahrah, Betty Benafe, Aman Graseka, Aida Khalida",Drama,Explosive Magic,,2017,430
Pencuri Hati Mr. Cinderella,Ahmad Idham,"Ahmad Idham, Atikah Suhaimie, Eizlan Yusof, Cat Farish, Faye Kusairi, Hairul Azreen, Haliza Misbun",Romance,Aifa Motion Pictures,,2017,431
Balun,Bob Singah,"Beto Kusyairy, Izara Aishah, Eizlan Yusof, Reen Rahim",Action,Elements Pictures,,2017,432
Abang Long Fadil 2,Syafiq Yusof,"Zizan Razak, Syamsul Yusof, AC Mizal, Tania Hudson, Wak Doyok, Achey Bocey, Shuib Sepahtu, A. Galak, Mas Khan",Action / Comedy,"Skop Productions-Astro Shaw co-production
Preceded by Abang Long Fadil (2014)",,2017,433
Vettai Karuppar Ayya,Amigoz Sugu,"GK, GpKay, Nanba Vijay, Gayathri",Drama / Horror / Mystery,"D'Cinema
Tamil-language film",,2017,434
Malay Regiment,Jurey Latiff,"Yus Waisar, Nad Zainal, Z.Zamri, Ahmad Tarmimi Siregar",Action,World Evolution Brain,,2017,435
Mendidih Bro,Z. Lokman,"Azrel Ismail, Julianna Evans, Marlyn Guinto, Yank Kassim, Adrea Abdullah, Z. Lokman, Amy Mastura",Adventure,Swamatra,,2017,436
Kau Takdirku,Jason Chong,"Ezzaty Abdullah, Bront Palarae, Remy Ishak",Drama / Romance,Primeworks Studios,,2017,437
Mrs K,Ho Yuhang,"Kara Wai, Simon Yam, Wu Bai, Faizal Hussein",Action,"Red Films
Mandarin-language film",,2017,438
Kolestrol vs Cinta,Eyra Rahman,"Tiz Zaqyah, Kamal Adli, Ardell Aryana",Romance,MIG Pictures,,2017,439
Bisik Pada Langit,Kabir Bhatia,"Jalil Hamid, Ummi Nazeera, Beto Kusyairy, Fadilah Mansor",Drama,Nusantara Seni Karya,,2017,440
9.13 The Returning,David Thian Thor Wei,"Jean Tan, Steve Yap, Remon Lim, Sherlyn Seo, Kevin Soo",Horror,"DAA Productions
Mandarin-language film",,2017,441
LuQman,Mahadi J. Murat,"Wan Hanafi Su, Raja Ilya, Josiah Hogan",Drama,Institut Kesenian dan Kajian Media Malaysia,,2017,442
The Farm: En Veettu Thottathil,Karthik Shamalan,"Jaya Ganason, Mohanaraj, Mahesan Poobalan, Yugendran Maniam, Haridhass",Horror,"S Cape Imagination
Tamil-language film",,2017,443
Aku Bukan Terrorist,Arjin Uppal,"Afiq Muiz, Gulshan Grover, Chacha Maembong, Rahul Dev, Farida Jalal, Jalaluddin Hassan, Betty Benafe",Drama,White Merpati Entertainment,,2017,444
Vasantha Villas,Roy,"Jeeva, Vadivukarasi, Ben'G, Sangetha, Saminathan",Action,AG Film Factory,,2017,445
Tombiruo: Penunggu Rimba,Seth Larney,"Farid Kamil, Zul Ariffin, Nabila Huda, Faizal Hussein, Hasnul Rahmat",Action / Drama,Astro Shaw-Layar Sunan co-production,,2017,446
Shuttle Life,Tan Seng Kiat,"Jack Tan, Angel Chan, Sylvia Chang",Family,"More Entertainment
Mandarin-language film",,2017,447
Haunted Hotel,Ryon Lee,"Sushar Manaying, Azman Hassan, Teddy Chin, Alvin Chong, Li Chuan",Horror,"Lomo Pictures
Mandarin-language film",,2017,448
Asli,David Liew,"Gina Wong, Rain Lee, Amit Joyo Bah Chu Hong, Alang Bah Kang",Family,"Cinetopia
Mandarin-language film",,2017,449
Dubai My Love,Aidilfitri Mohamed Yunos,"Erwin Dawson, Hanna Aqeela, Putri Najuwa, Ben Ali",Romance / Family,Tsar Asia,,2017,450
Peransang Rentap,Lina Johor,"Vincent Mallang, Diana Johor, Charlmay, Emmanuel Reuben, Ethel Lampai",Romance / Historical,Unique Twins,,2017,451
Jhangri,Kabilan Plondran,"Vicran Elanggoven, Agalyah Maniam, Kuben Mahadevan, Daview Puvanan, K. Karnan",Romance,"Jhangri Production House
Tamil-language film",,2017,452
Headlines,James Wong Chee Keong,"Wang Lei, Shaun Chen, Sean Lee, Seck Fook Yee",Horror,"Just Work Entertainment
Mandarin-language film",,2017,453
The Kid From The Big Apple 2: Before We Forget,Jess Teong,"Tommy Tam, Tan Qin Lin, Debbie Goh, Shaun Tam",Family,"Three Pictures
Mandarin-language film",,2017,454
Motor Terbang: Rempit Sampai Langit,Silver Yee,"Ajak Shiro, Nabila Huda, Tauke Jambu, Reen Rahim, Jay Iswazir, Cristina Suzanne",Action / Comedy,Suhan Movies & Trading,,2017,455
Thottam: The Garden,Arangkannal Rajoo,"KS Maniam, Singai Jegan, Aghilvarman, Thana, Ruban, Vivian Chong",Drama,"Blueye Productions
Tamil-language film",,2017,456
Aasaan,S. D. Puvanendran,"S. Haridhass, Shashi Tharan, Seelan Manoheran, Saresh D'seven",Action,"Nova Rimbun
Tamil-language film",,2017,457
Pinjamkan Hatiku,Osman Ali,"Ayda Jebat, Shaheizy Sam, Farid Kamil, Lia Natalia, Normah Damanhuri",Romance,Nuansa,,2017,458
"Papa, Come Home",Nick Wong & Chong Shee Lin,"Jack Lim, Jayden Sow, Jieying Tha, Kenji Sawahii",Family,"The Film Engine
Mandarin-language film",,2017,459
Jibam,Che Mie,"Mohd. Ariff Abdullah, Bohari Ibrahim, Syafie Naswip, Kazar Saisi",Drama,Spektra Selasih,,2017,460
Brotherhood,Silver Yee,"Eric Lin, Bernard Hiew, Hanz Koay, Sky Kang, January So, Sherlyn Seo",Action,"Malayflix Movies
Mandarin-language film",,2017,461
KL Wangan: Bikin Gempak,Pekin Ibrahim,"Faizal Hussein, Pekin Ibrahim, Kazuto Soon, Emily Lim",Action,Centro Pictures,,2017,462
Busker,Kye Fariz,"Hafeez Mikail, Daiyan Trisha, Anas Ridzuan, Bulan, Lia Natalia, Mas Khan",Romance,Astro Shaw,,2018,463
Best Story,"Teddy Chin, JY Teng & Eden Wan","Jack Lim, Jack Yap, Eric Lin, Yoke Chen, Wayne Cai, Jane Ng",Drama,"Lomo Pictures
Mandarin-language film",,2018,464
Bukan Cinta Malaikat,Aziz M. Osman,"Nora Danish, Fachri Albar, Ashraf Muslim, Donita, Bonda Afida, Dynas Mokhtar",Romance,"Ace Motion Production
Indonesia-Malaysia co-production",,2018,465
